Method,ACC,AUROC,Precision,Recall,F1-score
0,LogisticRegression,0.782608695652174,0.7611111111111112,0.6124763705103969,0.782608695652174,0.687168610816543
1,LinearDiscriminantAnalysis,0.5434782608695652,0.5916666666666667,0.6778467908902691,0.5434782608695652,0.5833122571448279
2,QuadraticDiscriminantAnalysis,0.717391304347826,0.7833333333333334,0.844472049689441,0.717391304347826,0.7420504448991793
3,DecisionTreeClassifier,0.782608695652174,0.6805555555555556,0.782608695652174,0.782608695652174,0.782608695652174
4,SGDClassifier,0.7608695652173914,0.7833333333333334,0.8083216456287985,0.7608695652173914,0.7758598312783905
5,NuSVC,0.8913043478260869,0.8694444444444445,0.895990965556183,0.8913043478260869,0.8931268772052604
6,SVC,0.8695652173913043,0.8611111111111112,0.8632723112128147,0.8695652173913043,0.8640814727771249
7,KNeighborsClassifier,0.8478260869565217,0.7625,0.8429298864081471,0.8478260869565217,0.8448637973731231
8,GaussianProcessClassifier,0.782608695652174,0.7555555555555556,0.6124763705103969,0.782608695652174,0.687168610816543
9,GaussianNB,0.7391304347826086,0.8277777777777777,0.8233264320220842,0.7391304347826086,0.7600931677018634
10,GradientBoostingClassifier,0.8260869565217391,0.8638888888888889,0.8260869565217391,0.8260869565217391,0.8260869565217391
11,BaggingClassifier,0.8478260869565217,0.7791666666666667,0.8375537505972289,0.8478260869565217,0.8374424552429668
12,AdaBoostClassifier,0.8043478260869565,0.7611111111111111,0.8117447769621683,0.8043478260869565,0.8076283789694689
13,RandomForestClassifier,0.8695652173913043,0.8916666666666667,0.8695652173913043,0.8695652173913043,0.8695652173913043
14,MLPClassifier,0.8043478260869565,0.7222222222222223,0.8434782608695651,0.8043478260869565,0.7351778656126483
